State,Crop,Category,Season,Sowing,Harvesting,Duration
Andhra Pradesh,Safflower,Oilseed,Rabi,Oct-Nov,March-April,150-180 days
Andhra Pradesh,Niger,Oilseed,Kharif,July-Aug,Nov-Dec,110-130 days
Andhra Pradesh,Potato,Vegetable,Rabi,Oct-Nov,Jan-Feb,90-120 days
Andhra Pradesh,Onion,Vegetable,Rabi,Oct-Nov,March-April,140-160 days
Andhra Pradesh,Tomato,Vegetable,Kharif,June-July,Sept-Oct,110-130 days
Andhra Pradesh,Brinjal,Vegetable,Kharif,June-July,Oct-Nov,120-150 days
Andhra Pradesh,Chilli,Vegetable,Kharif,June-July,Oct-Nov,150-180 days
Andhra Pradesh,Cabbage,Vegetable,Rabi,Sept-Oct,Dec-Jan,90-120 days
Andhra Pradesh,Cauliflower,Vegetable,Rabi,Sept-Oct,Nov-Dec,90-120 days
Andhra Pradesh,Okra,Vegetable,Kharif,June-July,Aug-Sept,90-110 days
Andhra Pradesh,Bottle Gourd,Vegetable,Kharif,June-July,Aug-Sept,90-120 days
Andhra Pradesh,Bitter Gourd,Vegetable,Kharif,June-July,Aug-Sept,90-110 days
Andhra Pradesh,Radish,Vegetable,Rabi,Oct-Nov,Dec-Jan,50-70 days
Andhra Pradesh,Carrot,Vegetable,Rabi,Oct-Nov,Jan-Feb,90-110 days
Andhra Pradesh,Garlic,Vegetable,Rabi,Oct-Nov,March-April,150-170 days
Andhra Pradesh,Ginger,Vegetable,Kharif,April-May,Dec-Jan,240-270 days
Andhra Pradesh,Turmeric,Vegetable,Kharif,May-June,Jan-Feb,210-270 days
Andhra Pradesh,Mango,Fruit,Perennial,June-July,April-June,120-150 days
Andhra Pradesh,Banana,Fruit,Perennial,June-July,Year-round,300-360 days
Andhra Pradesh,Citrus,Fruit,Perennial,June-July,Year-round,150-180 days
Andhra Pradesh,Orange,Fruit,Perennial,June-July,Nov-Jan,180-210 days
Andhra Pradesh,Guava,Fruit,Perennial,June-July,Nov-Jan,120-150 days
Andhra Pradesh,Papaya,Fruit,Perennial,June-July,Year-round,270-330 days
Andhra Pradesh,Pomegranate,Fruit,Perennial,June-July,Nov-Jan,150-180 days
Andhra Pradesh,Apple,Fruit,Perennial,Jan-Feb,Aug-Oct,150-180 days
Andhra Pradesh,Grapes,Fruit,Perennial,Jan-Feb,March-May,120-150 days
Andhra Pradesh,Pineapple,Fruit,Perennial,June-July,Aug-Oct,450-500 days
Andhra Pradesh,Sapota,Fruit,Perennial,June-July,Year-round,150-180 days
Andhra Pradesh,Litchi,Fruit,Perennial,Jan-Feb,May-June,120-140 days
Andhra Pradesh,Jackfruit,Fruit,Perennial,June-July,April-June,120-150 days
Andhra Pradesh,Ber,Fruit,Perennial,June-July,Jan-Feb,150-180 days
Andhra Pradesh,Amla,Fruit,Perennial,June-July,Nov-Jan,180-210 days
Andhra Pradesh,Custard Apple,Fruit,Perennial,June-July,Oct-Nov,120-150 days
Andhra Pradesh,Watermelon,Fruit,Perennial,Jan-Feb,April-May,85-100 days
Andhra Pradesh,Muskmelon,Fruit,Perennial,Jan-Feb,April-May,80-95 days
Andhra Pradesh,Strawberry,Fruit,Perennial,Oct-Nov,Feb-March,120-150 days
Andhra Pradesh,Kiwi,Fruit,Perennial,Jan-Feb,Oct-Nov,200-240 days
Andhra Pradesh,Black Pepper,Spices,Kharif/Rabi,June-July,Jan-March,240-300 days
Andhra Pradesh,Small Cardamom,Spices,Kharif/Rabi,June-July,Aug-Feb,300-360 days
Andhra Pradesh,Large Cardamom,Spices,Kharif/Rabi,June-July,Oct-Dec,300-360 days
Andhra Pradesh,Clove,Spices,Kharif/Rabi,June-July,Jan-March,240-300 days
Andhra Pradesh,Nutmeg,Spices,Kharif/Rabi,June-July,Year-round,240-300 days
Andhra Pradesh,Cinnamon,Spices,Kharif/Rabi,June-July,Year-round,240-300 days
Andhra Pradesh,Cumin,Spices,Kharif/Rabi,Oct-Nov,Feb-March,110-120 days
Andhra Pradesh,Fennel,Spices,Kharif/Rabi,Oct-Nov,March-April,150-180 days
Andhra Pradesh,Coriander,Spices,Kharif/Rabi,Oct-Nov,Feb-March,110-130 days
Andhra Pradesh,Ajwain,Spices,Kharif/Rabi,Oct-Nov,March-April,150-170 days
Andhra Pradesh,Suva,Spices,Kharif/Rabi,Oct-Nov,Feb-March,120-140 days
Andhra Pradesh,Vanilla,Spices,Kharif/Rabi,June-July,Ongoing,365-365 days
Andhra Pradesh,Ashwagandha,Medicinal,Misc,Aug-Sept,Jan-Feb,150-180 days
Andhra Pradesh,Aloe Vera,Medicinal,Misc,June-July,Year-round,300-365 days
Andhra Pradesh,Tulsi,Medicinal,Misc,June-July,Sept-Oct,90-120 days
Andhra Pradesh,Mentha,Medicinal,Misc,Jan-Feb,May-June,100-120 days
Andhra Pradesh,Isabgol,Medicinal,Misc,Oct-Nov,March-April,110-130 days
Andhra Pradesh,Senna,Medicinal,Misc,June-July,Oct-Nov,110-130 days
Andhra Pradesh,Safed Musli,Medicinal,Misc,June-July,Dec-Jan,180-210 days
Andhra Pradesh,Kalmegh,Medicinal,Misc,June-July,Nov-Dec,120-150 days
Andhra Pradesh,Shatavari,Medicinal,Misc,June-July,Year-round,365-500 days
Andhra Pradesh,Guduchi,Medicinal,Misc,June-July,Year-round,365-365 days
Andhra Pradesh,Brahmi,Medicinal,Misc,June-July,Ongoing,90-120 days
Andhra Pradesh,Stevia,Medicinal,Misc,Feb-March,Ongoing,90-120 days
Andhra Pradesh,Marigold,Flower,Misc,June-July,Sept-Oct,60-90 days
Andhra Pradesh,Rose,Flower,Misc,Oct-Nov,Year-round,120-150 days
Andhra Pradesh,Jasmine,Flower,Misc,June-July,March-May,90-120 days
Andhra Pradesh,Chrysanthemum,Flower,Misc,June-July,Nov-Dec,120-150 days
Andhra Pradesh,Tuberose,Flower,Misc,Feb-March,July-Sept,150-180 days
Andhra Pradesh,Gladiolus,Flower,Misc,Oct-Nov,Jan-Feb,90-120 days
Andhra Pradesh,Gerbera,Flower,Misc,Year-round,Year-round,90-120 days
Andhra Pradesh,Carnation,Flower,Misc,Oct-Nov,Feb-March,150-180 days
Andhra Pradesh,Orchid,Flower,Misc,Year-round,Year-round,365-365 days
Andhra Pradesh,Crossandra,Flower,Misc,June-July,Oct-Nov,120-150 days
Andhra Pradesh,Aster,Flower,Misc,June-July,Sept-Oct,90-120 days
Andhra Pradesh,Lily,Flower,Misc,Oct-Nov,Jan-Feb,90-120 days
Andhra Pradesh,Jute,Fiber,Kharif,March-May,July-Sept,120-150 days
Andhra Pradesh,Cotton,Fiber,Kharif,May-July,Oct-Dec,160-210 days
Andhra Pradesh,Sugarcane,Sugar,Annual,Jan-March,Dec-March,300-360 days
Andhra Pradesh,Tea,Plantation,Perennial,March-April,Oct-Nov,180-240 days
Andhra Pradesh,Coffee,Plantation,Perennial,June-July,Nov-Jan,240-300 days
Andhra Pradesh,Rubber,Plantation,Perennial,June-July,Ongoing,365-365 days
Andhra Pradesh,Coconut,Plantation,Perennial,June-July,Ongoing,365-365 days
Andhra Pradesh,Cashew,Plantation,Perennial,June-July,Feb-May,120-150 days
Andhra Pradesh,Arecanut,Plantation,Perennial,June-July,Ongoing,365-365 days
Andhra Pradesh,Betelvine,Cash,Perennial,June-July,Year-round,365-365 days
Andhra Pradesh,Tobacco,Cash,Rabi,Oct-Nov,Feb-March,120-150 days
Andhra Pradesh,Indigo,Dye,Kharif,June-July,Sept-Oct,90-110 days
Andhra Pradesh,Henna,Dye,Kharif,June-July,Oct-Nov,120-150 days
Andhra Pradesh,Saffron,Spices,Rabi,Aug-Sept,Oct-Nov,60-90 days
Andhra Pradesh,Cocoa,Plantation,Perennial,June-July,Ongoing,365-365 days
Andhra Pradesh,Rice (Basmati-370),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (IR-64),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (Jaya),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (Swarna),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (Pusa-1121),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (KRH-2),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (PR-121),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (MTU-1010),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (BPT-5204),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (Sambha Mahsuri),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (Govind),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (Saket-4),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (Ratna),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (Sona),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (Mahsuri),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (ADT-36),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (ADT-43),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (CO-43),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (CO-51),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Rice (IR-36),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Wheat (HD-2967),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (HD-3086),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (PBW-343),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (Lok-1),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (Raj-3765),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (K-307),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (GW-322),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (Sharbati),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (Durum),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (Sonalika),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (Kalyan Sona),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (WH-1105),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (HI-1544),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (GW-496),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Wheat (DBW-187),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Andhra Pradesh,Maize (Ganga-5),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Andhra Pradesh,Maize (Deccan-103),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Andhra Pradesh,Maize (Pioneer-30V92),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Andhra Pradesh,Maize (HQPM-1),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Andhra Pradesh,Maize (Bio-9637),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Andhra Pradesh,Maize (Shaktiman-1),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Andhra Pradesh,Maize (Prabhat),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Andhra Pradesh,Maize (Kisan),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Andhra Pradesh,Maize (Jawahar),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Andhra Pradesh,Mango (Alphonso),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Dasheri),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Langra),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Chausa),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Kesar),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Badami),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Totapuri),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Neelum),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Amrapali),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Mallika),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Himsagar),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Banganapalli),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Suvarnarekha),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Fazli),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Mango (Gulabkhas),Fruit,Perennial,June-July,April-June,115-155 days
Andhra Pradesh,Potato (Kufri Jyoti),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Andhra Pradesh,Potato (Kufri Bahar),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Andhra Pradesh,Potato (Kufri Pukhraj),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Andhra Pradesh,Potato (Kufri Chandramukhi),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Andhra Pradesh,Potato (Kufri Sindhuri),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Andhra Pradesh,Potato (Kufri Badshah),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Andhra Pradesh,Potato (Kufri Lauvkar),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Andhra Pradesh,Potato (Kufri Chipsona),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Andhra Pradesh,Tomato (Pusa Ruby),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Andhra Pradesh,Tomato (Arka Vikas),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Andhra Pradesh,Tomato (Arka Saurabh),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Andhra Pradesh,Tomato (Vaishali),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Andhra Pradesh,Tomato (Abhinav),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Andhra Pradesh,Tomato (Pusa Early Dwarf),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Andhra Pradesh,Tomato (S-12),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Andhra Pradesh,Tomato (Arka Rakshak),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Andhra Pradesh,Tomato (Arka Samrat),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Andhra Pradesh,Banana (Grand Naine),Fruit,Perennial,June-July,Year-round,295-365 days
Andhra Pradesh,Banana (Robusta),Fruit,Perennial,June-July,Year-round,295-365 days
Andhra Pradesh,Banana (Dwarf Cavendish),Fruit,Perennial,June-July,Year-round,295-365 days
Andhra Pradesh,Banana (Poovan),Fruit,Perennial,June-July,Year-round,295-365 days
Andhra Pradesh,Banana (Rasthali),Fruit,Perennial,June-July,Year-round,295-365 days
Andhra Pradesh,Banana (Nendran),Fruit,Perennial,June-July,Year-round,295-365 days
Andhra Pradesh,Banana (Red Banana),Fruit,Perennial,June-July,Year-round,295-365 days
Andhra Pradesh,Banana (Elakki),Fruit,Perennial,June-July,Year-round,295-365 days
Andhra Pradesh,Cotton (BT-Cotton),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Andhra Pradesh,Cotton (H-777),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Andhra Pradesh,Cotton (MCU-5),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Andhra Pradesh,Cotton (Suvin),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Andhra Pradesh,Cotton (Bunny),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Andhra Pradesh,Cotton (Ajeet),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Andhra Pradesh,Cotton (DCH-32),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Andhra Pradesh,Cotton (JKHy-1),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Andhra Pradesh,Cotton (Varalaxmi),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Andhra Pradesh,Sugarcane (CO-0238),Sugar,Annual,Jan-March,Dec-March,295-365 days
Andhra Pradesh,Sugarcane (CO-86032),Sugar,Annual,Jan-March,Dec-March,295-365 days
Andhra Pradesh,Sugarcane (CO-419),Sugar,Annual,Jan-March,Dec-March,295-365 days
Andhra Pradesh,Sugarcane (CO-740),Sugar,Annual,Jan-March,Dec-March,295-365 days
Andhra Pradesh,Sugarcane (CO-8021),Sugar,Annual,Jan-March,Dec-March,295-365 days
Andhra Pradesh,Sugarcane (CO-671),Sugar,Annual,Jan-March,Dec-March,295-365 days
Andhra Pradesh,Sugarcane (CO-94012),Sugar,Annual,Jan-March,Dec-March,295-365 days
Andhra Pradesh,Sugarcane (CO-0118),Sugar,Annual,Jan-March,Dec-March,295-365 days
Andhra Pradesh,Mustard (Pusa-Bold),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Andhra Pradesh,Mustard (Varuna),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Andhra Pradesh,Mustard (RH-30),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Andhra Pradesh,Mustard (Kranti),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Andhra Pradesh,Mustard (Giriraj),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Andhra Pradesh,Mustard (Laxmi),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Andhra Pradesh,Mustard (Pusa Jai Kisan),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Andhra Pradesh,Brinjal (Pusa Purple Long),Vegetable,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Brinjal (Pusa Purple Round),Vegetable,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Brinjal (Arka Kusumakar),Vegetable,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Brinjal (Arka Neelkanth),Vegetable,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Brinjal (Pusa Anmol),Vegetable,Kharif,June-July,Oct-Nov,115-155 days
Andhra Pradesh,Onion (Agrifound Dark Red),Vegetable,Rabi,Oct-Nov,March-April,135-165 days
Andhra Pradesh,Onion (N-53),Vegetable,Rabi,Oct-Nov,March-April,135-165 days
Andhra Pradesh,Onion (Pusa Red),Vegetable,Rabi,Oct-Nov,March-April,135-165 days
Andhra Pradesh,Onion (Arka Kalyan),Vegetable,Rabi,Oct-Nov,March-April,135-165 days
Andhra Pradesh,Onion (Baswant-780),Vegetable,Rabi,Oct-Nov,March-April,135-165 days
Andhra Pradesh,Onion (Arka Niketan),Vegetable,Rabi,Oct-Nov,March-April,135-165 days
Andhra Pradesh,Chilli (Pusa Jwala),Vegetable,Kharif,June-July,Oct-Nov,145-185 days
Andhra Pradesh,Chilli (Arka Lohit),Vegetable,Kharif,June-July,Oct-Nov,145-185 days
Andhra Pradesh,Chilli (G-4),Vegetable,Kharif,June-July,Oct-Nov,145-185 days
Andhra Pradesh,Chilli (Byadagi),Vegetable,Kharif,June-July,Oct-Nov,145-185 days
Andhra Pradesh,Chilli (K-2),Vegetable,Kharif,June-July,Oct-Nov,145-185 days
Andhra Pradesh,Chilli (Bhavnagari),Vegetable,Kharif,June-July,Oct-Nov,145-185 days
Andhra Pradesh,Soybean (JS-335),Oilseed,Kharif,June-July,Sept-Oct,90-120 days
Andhra Pradesh,Soybean (JS-9560),Oilseed,Kharif,June-July,Sept-Oct,90-120 days
Andhra Pradesh,Soybean (NRC-37),Oilseed,Kharif,June-July,Sept-Oct,90-120 days
Andhra Pradesh,Soybean (PK-472),Oilseed,Kharif,June-July,Sept-Oct,90-120 days
Andhra Pradesh,Soybean (Bragg),Oilseed,Kharif,June-July,Sept-Oct,90-120 days
Andhra Pradesh,Ginger (Nadia),Vegetable,Kharif,April-May,Dec-Jan,235-275 days
Andhra Pradesh,Ginger (Maran),Vegetable,Kharif,April-May,Dec-Jan,235-275 days
Andhra Pradesh,Ginger (Rio-de-Janeiro),Vegetable,Kharif,April-May,Dec-Jan,235-275 days
Andhra Pradesh,Ginger (Suprabha),Vegetable,Kharif,April-May,Dec-Jan,235-275 days
Andhra Pradesh,Turmeric (Prabha),Vegetable,Kharif,May-June,Jan-Feb,205-275 days
Andhra Pradesh,Turmeric (Pratibha),Vegetable,Kharif,May-June,Jan-Feb,205-275 days
Andhra Pradesh,Turmeric (Roma),Vegetable,Kharif,May-June,Jan-Feb,205-275 days
Andhra Pradesh,Turmeric (Suguna),Vegetable,Kharif,May-June,Jan-Feb,205-275 days
Andhra Pradesh,Grapes (Thompson Seedless),Fruit,Perennial,Jan-Feb,March-May,115-155 days
Andhra Pradesh,Grapes (Anab-e-Shahi),Fruit,Perennial,Jan-Feb,March-May,115-155 days
Andhra Pradesh,Grapes (Bangalore Blue),Fruit,Perennial,Jan-Feb,March-May,115-155 days
Andhra Pradesh,Grapes (Dilkhush),Fruit,Perennial,Jan-Feb,March-May,115-155 days
Andhra Pradesh,Grapes (Tas-e-Ganesh),Fruit,Perennial,Jan-Feb,March-May,115-155 days
Andhra Pradesh,Guava (Allahabad Safeda),Fruit,Perennial,June-July,Nov-Jan,115-155 days
Andhra Pradesh,Guava (Lucknow-49),Fruit,Perennial,June-July,Nov-Jan,115-155 days
Andhra Pradesh,Guava (Arka Mridula),Fruit,Perennial,June-July,Nov-Jan,115-155 days
Andhra Pradesh,Guava (Lalit),Fruit,Perennial,June-July,Nov-Jan,115-155 days
Andhra Pradesh,Pomegranate (Bhagwa),Fruit,Perennial,June-July,Nov-Jan,145-185 days
Andhra Pradesh,Pomegranate (Mridula),Fruit,Perennial,June-July,Nov-Jan,145-185 days
Andhra Pradesh,Pomegranate (Ganesh),Fruit,Perennial,June-July,Nov-Jan,145-185 days
Andhra Pradesh,Pomegranate (Ruby),Fruit,Perennial,June-July,Nov-Jan,145-185 days
Andhra Pradesh,Papaya (Coorg Honey Dew),Fruit,Perennial,June-July,Year-round,265-335 days
Andhra Pradesh,Papaya (Pusa Nanha),Fruit,Perennial,June-July,Year-round,265-335 days
Andhra Pradesh,Papaya (Pusa Dwarf),Fruit,Perennial,June-July,Year-round,265-335 days
Andhra Pradesh,Papaya (Washington),Fruit,Perennial,June-July,Year-round,265-335 days
Andhra Pradesh,Papaya (Solo),Fruit,Perennial,June-July,Year-round,265-335 days
Andhra Pradesh,Rose (Gladiator),Flower,Misc,Oct-Nov,Year-round,115-155 days
Andhra Pradesh,Rose (First Red),Flower,Misc,Oct-Nov,Year-round,115-155 days
Andhra Pradesh,Rose (Baccara),Flower,Misc,Oct-Nov,Year-round,115-155 days
Andhra Pradesh,Rose (Super Star),Flower,Misc,Oct-Nov,Year-round,115-155 days
Andhra Pradesh,Marigold (African Marigold),Flower,Misc,June-July,Sept-Oct,55-95 days
Andhra Pradesh,Marigold (French Marigold),Flower,Misc,June-July,Sept-Oct,55-95 days
Andhra Pradesh,Marigold (Pusa Narangi),Flower,Misc,June-July,Sept-Oct,55-95 days
Andhra Pradesh,Marigold (Pusa Basanti),Flower,Misc,June-July,Sept-Oct,55-95 days
Andhra Pradesh,Minor Crop Variant 285,Misc,Misc,June-July,Oct-Nov,90-120 days
Andhra Pradesh,Minor Crop Variant 286,Misc,Misc,June-July,Oct-Nov,90-120 days
Andhra Pradesh,Minor Crop Variant 287,Misc,Misc,June-July,Oct-Nov,90-120 days
Andhra Pradesh,Minor Crop Variant 288,Misc,Misc,June-July,Oct-Nov,90-120 days
Andhra Pradesh,Minor Crop Variant 289,Misc,Misc,June-July,Oct-Nov,90-120 days
Andhra Pradesh,Minor Crop Variant 290,Misc,Misc,June-July,Oct-Nov,90-120 days
Andhra Pradesh,Minor Crop Variant 291,Misc,Misc,June-July,Oct-Nov,90-120 days
Andhra Pradesh,Minor Crop Variant 292,Misc,Misc,June-July,Oct-Nov,90-120 days
Andhra Pradesh,Minor Crop Variant 293,Misc,Misc,June-July,Oct-Nov,90-120 days
Andhra Pradesh,Minor Crop Variant 294,Misc,Misc,June-July,Oct-Nov,90-120 days
Andhra Pradesh,Minor Crop Variant 295,Misc,Misc,June-July,Oct-Nov,90-120 days
